Table 1
NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,PRASEKOLAH,PKHAS
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0011,SEKOLAH KEBANGSAAN SRI KINJANG,CHENDERIANG,35300,CHENDERIANG,TIADA,TIADA,ABA0011@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0012,SEKOLAH KEBANGSAAN KAMPONG PAHANG,JALAN PAHANG,35000,TAPAH,054010396,054010396,ABA0012@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0013,SEKOLAH KEBANGSAAN BATU TUJUH,JALAN PAHANG,35000,TAPAH,054010735,054010735,ABA0013@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0014,SEKOLAH KEBANGSAAN JERAM MENGKUANG,"BATU 5, JERAM MENGKUANG",35500,BIDOR,054270118,054270119,ABA0014@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0015,SEKOLAH KEBANGSAAN SUNGAI LESONG,KG SUNGAI LESONG,31950,MAMBANG DI AWAN,054780468,054780468,ABA0015@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0016,SEKOLAH KEBANGSAAN AYER KUNING,AIR KUNING KAMPAR,31920,KAMPAR,054789326,054789326,ABA0016@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0017,SEKOLAH KEBANGSAAN BATU MASJID,KAMPONG BATU MASJID,35350,TEMOH,054270021,054270021,ABA0017@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0018,SEKOLAH KEBANGSAAN SUNGKAI,SUNGKAI,35600,SUNGKAI,054388434,054388434,ABA0018@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0019,SEKOLAH KEBANGSAAN PERLOK,JALAN MENDERANG,35600,SUNGKAI,054386911,054386911,ABA0019@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0020,SEKOLAH KEBANGSAAN BIKAM,KAMPUNG BIKAM,35600,SUNGKAI,054386179,054386179,ABA0020@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0024,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,054389843,054389843,ABA0024@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0031,SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,054388500,054388501,ABA0031@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0034,SEKOLAH KEBANGSAAN BATU 14,JALAN PAHANG,35000,TAPAH,TIADA,TIADA,ABA0034@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0035,SEKOLAH KEBANGSAAN BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,054312313,054312313,ABA0035@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0110,SEKOLAH KEBANGSAAN TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,054323189,054321004,ABA0110@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0118,SEKOLAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,054323534,054322734,ABA0118@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0120,SEKOLAH KEBANGSAAN SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,054311819,054311819,ABA0120@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0125,SEKOLAH KEBANGSAAN POS GEDONG,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0125@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0126,SEKOLAH KEBANGSAAN KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0126@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,TIADA,TIADA,ABA0127@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0128,SEKOLAH KEBANGSAAN JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,TIADA,TIADA,ABA0128@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0129,SEKOLAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,054016122,054016122,ABA0129@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0130,SEKOLAH KEBANGSAAN BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,054341216,054340926,ABA0130@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1001,SEKOLAH KEBANGSAAN DENDANG,KAMPUNG DENDANG,32700,BERUAS,052560031,052560031,ABA1001@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1002,SEKOLAH KEBANGSAAN BERUAS,JALAN PARIT,32700,BERUAS,056740696,056749009,ABA1002@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1003,SEKOLAH KEBANGSAAN KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,056748048,056748048,ABA1003@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1004,SEKOLAH KEBANGSAAN GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,056721145,056721145,ABA1004@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1005,SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,053765253,053765253,ABA1005@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1006,SEKOLAH KEBANGSAAN AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,056724248,056724248,ABA1006@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1007,SEKOLAH KEBANGSAAN PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,056775795,056773528,ABA1007@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1008,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,056775595,056775595,ABA1008@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1009,SEKOLAH KEBANGSAAN SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,056774660,056777529,ABA1009@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1010,SEKOLAH KEBANGSAAN LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,056752168,056752168,ABA1010@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1011,SEKOLAH KEBANGSAAN SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,056774473,056774473,ABA1011@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1012,SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,056777151,056777151,ABA1012@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1013,SEKOLAH KEBANGSAAN SUNGAI RAMAI,KG. SUNGAI RAMAI,32400,AYER TAWAR,TIADA,TIADA,ABA1013@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1014,SEKOLAH KEBANGSAAN SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,056924192,056924192,ABA1014@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1015,SEKOLAH KEBANGSAAN SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,056922495,056926143,ABA1015@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1016,SEKOLAH KEBANGSAAN SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,056923754,056923754,ABA1016@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1017,SEKOLAH KEBANGSAAN LEKIR,BATU 8,32020,SITIAWAN,056792764,056792764,ABA1017@moe.edu.my,Luar Bandar,Kerajaan,TIADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1018,SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,056939612,056939611,ABA1018@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1019,SEKOLAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,056791206,056791951,ABA1019@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1020,SEKOLAH KEBANGSAAN SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,056690576,056690049,ABA1020@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,056835440,056834332,ABA1021@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1022,SEKOLAH KEBANGSAAN LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,056835322,056835322,ABA1022@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1023,SEKOLAH KEBANGSAAN SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,056851193,056855911,ABA1023@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1024,SEKOLAH KEBANGSAAN TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,056990070,056990070,ABA1024@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1025,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,056915975,056915975,ABA1025@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1026,SEKOLAH KEBANGSAAN KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,056792712,056792712,ABA1026@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1027,SEKOLAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,056835890,056838527,ABA1027@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1028,SEKOLAH KEBANGSAAN SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,056881014,056889855,ABA1028@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1029,SEKOLAH KEBANGSAAN PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,056774375,056777586,ABA1029@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1030,SEKOLAH KEBANGSAAN GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,056923687,056926126,ABA1030@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1031,SEKOLAH KEBANGSAAN PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,056834914,056838079,ABA1031@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1032,SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,056886616,056886616,ABA1032@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1033,SEKOLAH KEBANGSAAN SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,056882087,056882326,ABA1033@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1034,SEKOLAH KEBANGSAAN SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,056888950,056883866,ABA1034@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD MANJUNG,Kebangsaan,ABA1035,SEKOLAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,056881909,056883703,ABA1035@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,053571660,053571660,ABA2001@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2002,SEKOLAH KEBANGSAAN SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,053123528,053123528,ABA2002@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2003,SEKOLAH KEBANGSAAN SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,053121890,053115806,ABA2003@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2004,SEKOLAH KEBANGSAAN TAMBUN,JALAN AMPANG,31400,IPOH,055469261,055499086,ABA2004@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2005,SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,055332950,055330751,ABA2005@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2006,SEKOLAH KEBANGSAAN TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,055464913,055464913,ABA2006@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2007,SEKOLAH KEBANGSAAN CHEPOR,JALAN JELAPANG,31200,CHEMOR,052017246,052012135,ABA2007@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2008,SEKOLAH KEBANGSAAN HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,052011534,052018980,ABA2008@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2009,SEKOLAH KEBANGSAAN SYED IDRUS,KUANG,31200,CHEMOR,052015669,052015669,ABA2009@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2010,SEKOLAH KEBANGSAAN DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,052545680,052544884,ABA2010@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2011,SEKOLAH KEBANGSAAN JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,052559896,052432785,ABA2011@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2012,SEKOLAH KEBANGSAAN SERI KEPAYANG,FAIR PARK,31400,IPOH,055450905,055450905,ABA2012@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2014,SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,053219041,053233870,ABA2014@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2015,SEKOLAH KEBANGSAAN KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,052821788,052821788,ABA2015@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,053216399,053216399,ABA2016@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,053576199,053577962,ABA2017@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2030,SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,053661253,053652576,ABA2030@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2031,SEKOLAH KEBANGSAAN SIPUTEH,SIPUTEH,31560,SIPUTEH,053660621,053660621,ABA2031@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2032,SEKOLAH KEBANGSAAN TRONOH,JALAN BOTA LAMA,31750,TRONOH,053679414,053677410,ABA2032@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2033,SEKOLAH KEBANGSAAN KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,053665516,053665516,ABA2033@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2034,SEKOLAH KEBANGSAAN TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,053702155,053702155,ABA2034@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2035,SEKOLAH KEBANGSAAN AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,053607099,053607099,ABA2035@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2036,SEKOLAH KEBANGSAAN CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,053607925,053607925,ABA2036@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2038,SEKOLAH KEBANGSAAN BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,053668792,053668792,ABA2038@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2039,SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,055335358,055331131,ABA2039@moe.edu.my,Luar Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA SELATAN,Kebangsaan,ABA2040,SEKOLAH KEBANGSAAN AYER DENAK,TRONOH,31750,TRONOH,TIADA,TIADA,ABA2040@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,055260408,055286572,ABA2041@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2042,SEKOLAH KEBANGSAAN GURU KALGIDHAR,"JALAN GUNTONG, BUNTONG",30100,IPOH,052413269,052413269,ABA2042@moe.edu.my,Bandar,Bantuan Kerajaan,TIADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2043,SEKOLAH KEBANGSAAN MANJOI (DUA),JALAN MASJID KG. MANJOI,30020,IPOH,055265441,055268129,ABA2043@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2044,SEKOLAH KEBANGSAAN PENDIDIKAN KHAS IPOH,"JALAN KUALA KANGSAR, ANJUNG TAWAS",31200,CHEMOR,052910310,052910311,ABA2044@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2045,SEKOLAH KEBANGSAAN JELAPANG,TAMAN MERU,30020,IPOH,055265553,055285158,ABA2045@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2046,SEKOLAH KEBANGSAAN DATO' AHMAD SAID TAMBAHAN,LEBUH RAJAWALI,30020,IPOH,055268889,055268889,ABA2046@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2047,SEKOLAH KEBANGSAAN POS RAYA,JALAN CAMERON HIGHLANDS,31300,KG KEPAYANG,TIADA,0195584473,ABA2047@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2049,SEKOLAH KEBANGSAAN SERI TANJUNG,TANJUNG RAMBUTAN,31250,TANJONG RAMBUTAN,0194445692,TIADA,ABA2049@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2050,SEKOLAH KEBANGSAAN SERI AMPANG,JLN RAJA MUSA MAHADI,31350,IPOH,053120663,053126046,ABA2050@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2051,SEKOLAH KEBANGSAAN JALAN PEGOH,"LRG. PEGOH 4, TMN. PENGKALAN JAYA",31650,IPOH,053214701,053220982,ABA2051@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2052,SEKOLAH KEBANGSAAN SERI KELEBANG,KG SERI KELEBANG,31200,CHEMOR,052916844,052924485,ABA2052@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2053,SEKOLAH KEBANGSAAN PERPADUAN,TAMAN PERPADUAN,31150,ULU KINTA,055333859,055333878,ABA2053@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2055,SEKOLAH KEBANGSAAN RAJA CHULAN,DESA CEMPAKA,31400,IPOH,055456599,055456599,ABA2055@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD KINTA UTARA,Kebangsaan,ABA2056,SEKOLAH KEBANGSAAN TAMAN BERSATU,SIMPANG PULAI,31300,KG KEPAYANG,053577355,053573068,ABA2056@moe.edu.my,Bandar,Kerajaan,ADA,TIADA
