NO,COHORT,CATEGORY,STATE,SCHOOL
91,3,SM,TERENGGANU,SMS SULTAN MAHMUD
92,4,SR,PULAU PINANG,SJK(C) HAN CHIANG
93,4,SR,SELANGOR,SK TAMAN MEGAH
94,4,SR,PERAK,SK MARIAN CONVENT
95,4,SR,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 11 (1)
96,4,SR,JOHOR,SK TENGKU MARIAM
97,4,SR,JOHOR,SJKT LADANG REM
98,4,SR,SELANGOR,SK BUKIT JELUTONG
99,4,SR,MELAKA,SK CONVENT OF THE INFANT JESUS 1 (M)
100,4,SR,WP KUALA LUMPUR,SK CONVENT BUKIT NANAS (1)
101,4,SR,PULAU PINANG,SK CONVENT GREEN LANE
102,4,SR,WP KUALA LUMPUR,SJK(C) KUEN CHENG 2
103,4,SR,PERAK,SK SULTAN IDRIS II
104,4,SR,SELANGOR,SK SRI PETALING
105,4,SR,PAHANG,SK CONVENT
106,4,SM,PULAU PINANG,SMKA AL-IRSHAD
107,4,SM,MELAKA,SMKA SHARIFAH RODZIAH
108,4,SM,SELANGOR,SM AGAMA PERSEKUTUAN KAJANG
109,4,SM,PERAK,SBP INTEGRASI GOPENG
110,4,SM,PERAK,SM SAINS RAJA TUN AZLAN SHAH
111,4,SM,NEGERI SEMBILAN,SBP INTEGRASI JEMPOL
112,4,SM,KELANTAN,SM SAINS MACHANG
113,4,SM,KEDAH,SM SAINS KUBANG PASU
114,4,SM,JOHOR,SMK DATO’ PENGGAWA BARAT
115,4,SM,SELANGOR,SBP INTEGRASI RAWANG
116,5,SR,PAHANG,SJK(T) RINGLET
117,5,SR,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 9 (2)
118,5,SR,PAHANG,SK ST. THOMAS
119,5,SR,SABAH,SK LINGGA BARU
120,5,SR,KEDAH,SK AIR MERAH
121,5,SR,KELANTAN,SK SERI WAKAF BAHARU
122,5,SR,SELANGOR,SK SAUJANA IMPIAN
123,5,SR,KELANTAN,SK KUBANG KERIAN 3
124,5,SR,TERENGGANU,SK KAMPONG RAJA
125,5,SM,PAHANG,SMK ABDUL RAHMAN TALIB
126,5,SM,PULAU PINANG,SMK BUKIT JAMBUL
127,5,SM,PULAU PINANG,SM SAINS TUN SYED SHEH SHAHABUDIN
128,5,SM,NEGERI SEMBILAN,SM SAINS REMBAU
130,6,SK,KEDAH,SK FATHER BARRE’S CONVENT (M)
131,6,SK,SELANGOR,SK RAJA MUDA (INTEGRASI)
132,6,SK,NEGERI SEMBILAN,SK KING GEORGE V
133,6,SK,WP PUTRAJAYA,SK PUTRAJAYA PRESINT 18(1)
134,6,SM,SABAH,SMS LAHAD DATU
135,6,SM,PERAK,SMS TAPAH
